Marchantia phases LL,Marchantia phases DD,Marchantia phases LD,Swedish phases 191 22C,LL_Wheat,LL_brassic a,DD_Wheat,DD_brassic a
18.85,15.67,5.64,18.88,4.35,16.5,3.51,16.32
11.16,23.39,3.01,20.4,22.07,15.42,4.7,12.72
20.73,6.05,6.47,16.7,23.88,16.34,3.4,5.78
9.61,6.98,3,18.45,4.24,15.13,5.95,3.07
8.63,16.83,8.66,18.68,22.25,16.19,4.25,13.15
21.58,12.3,22.91,16.77,5.84,14.68,3.03,9.54
12.67,11.51,22.48,17.54,2.23,15.22,5.3,5.88
16.13,7.71,7.19,16.86,7.15,14.79,2.38,8.36
17.77,13.59,1.83,18.64,23.09,12.75,4.79,1.68
10.3,15.06,21.65,18.42,12.42,15.06,8.29,4.73
1.01,9.74,7.37,19.9,4.24,15.18,3.79,4.33
23.18,12.24,6.4,16.79,21.55,14.14,5.61,
18.27,17.93,7.49,18.88,23.59,14.89,5.5,
1.45,17.37,5.73,17.54,21.65,15.2,5.94,
7.25,15.74,8.61,17.23,0.39,15.37,5.52,
7.41,9.89,6.51,21.78,14.29,13.17,6.96,
6.56,13.65,8.78,18.51,7.36,14.16,5.49,
11.69,8.2,7.19,17.88,16.03,12.77,5.33,
23,12.99,6.56,18.1,2.46,,3.28,
21.37,3.4,5.22,18.8,14.04,,4.96,
3.61,1.08,2.44,16.01,0.5,,5.8,
4.12,14.77,6.7,18.58,13.99,,3.57,
5.97,18.95,5.61,18.78,21.29,,4.84,
8.43,13.81,1.28,17.96,,,2.67,
0.65,22.87,6.36,18.02,,,,
13.14,21.42,7.94,12.21,,,,
15.57,2.36,7.2,18.12,,,,
7.48,15.06,7.6,21.34,,,,
16.08,10.52,6.9,20.72,,,,
0.09,15.19,7.21,18.73,,,,
22.67,9.71,7.32,18.16,,,,
10.06,12.19,0.58,17.63,,,,
,8.77,7.12,17.21,,,,
,6.47,9.01,17.86,,,,
,6.47,6.24,18.47,,,,
,10.37,6.76,20.26,,,,
,8.69,7.99,18.04,,,,
,19.02,11.91,15.19,,,,
,4.76,7.87,21.85,,,,
,20.2,7.46,15.01,,,,
,9.41,8.95,18.9,,,,
,16.48,5.98,17.55,,,,
,8.83,7.64,21.28,,,,
,21.74,11.66,21.45,,,,
,7.85,7.18,18.77,,,,
,21.55,18.95,18.35,,,,
,9.02,6.16,17.79,,,,
,10.34,17.64,21.51,,,,
,18.58,17.55,17.87,,,,
,17.89,6.29,17.7,,,,
,0.17,20.14,17.64,,,,
,17.36,6.25,19.13,,,,
,,7.7,17.66,,,,
,,9.93,18.59,,,,
,,6.14,17.39,,,,
,,16.12,19.29,,,,
,,6,18.79,,,,
,,23.06,17.13,,,,
,,1.64,16.96,,,,
,,2.21,19.02,,,,
,,0.61,17.59,,,,
,,7.34,17.8,,,,
,,7.14,16.34,,,,
,,13.94,18.36,,,,
